author,quote
Janis Ian,"At the end of the day, all you can hope for is to go on. The older I get, the more I realize that just keeping on keeping on is what life's all about."
Henrik Ibsen,"Sleep, O sleep, my dearest boy. / I will cradle you, I will guard you."
Henrik Ibsen,Really to sin you have to be serious about it.
Henrik Ibsen,Castles in the air - they are so easy to take refuge in. And so easy to build too.
Henrik Ibsen,"A marriage based on full confidence, based on complete and unqualified frankness on both sides; they are not keeping anything back; there's no deception underneath it all. If I might so put it, it's an agreement for the mutual forgiveness of sin."
Henrik Ibsen,In that second it dawned on me that I had been living here for eight years with a strange man and had borne him three children.
Henrik Ibsen,"The majority is never right. Never, I tell you! That's one of these lies in society that no free and intelligent man can help rebelling against. Who are the people that make up the biggest proportion of the population the intelligent ones or the fool"
Henrik Ibsen,"One of the qualities of liberty is that, as long as it is being striven after, it goes on expanding. Therefore, the man who stands in the midst of the struggle and says, I have it, merely shows by doing so that he has just lost it."
Henrik Ibsen,"Deprive the average human being of his life-lie, and you rob him of his happiness"
Henrik Ibsen,Rob the average man of his life-illusion and you rob him also of his happiness
Henrik Ibsen,The spirit of truth and the spirit of freedom - these are the pillars of society.
Henrik Ibsen,The pillars of truth and the pillars of freedom - they are the pillars of society
Henrik Ibsen,You should never wear your best trousers when you go out to fight for freedom and truth
Henrik Ibsen,A forest bird never wants a cage.
Henrik Ibsen,A man should never put on his best trousers when he goes out to battle for freedom and truth
Henrik Ibsen,"These heroes of finance are like beads on a string when one slips off, all the rest follow"
Henrik Ibsen,"The majority is never right. Never, I tell you! That's one of these lies in society that no free and intelligent man can help rebelling against. Who are the people that make up the biggest proportion of the population -- the intelligent ones or the fools? I think we can agree it's the fools, no matter where you go in this world, it's the fools that form the overwhelming majority."
Henrik Ibsen,The devil is compromise
Henrik Ibsen,"Money may be the husk of many things, but not the kernel. It brings you food, but not appetite; medicine, but not health; acquaintances, but not friends; servants, but not faithfulness; days of joy, but not peace and happiness."
Henrik Ibsen,It is inexcusable for scientists to torture animals; let them make their experiments on journalists and politicians.
Henrik Ibsen,"People who don't know how to keep themselves healthy ought to have the decency to get themselves buried, and not waste time about it."
Carl Icahn,shareholders' patience is running out.
Carl Icahn,"You learn in this business: It you want a friend, get a dog"
Carl Icahn,"I believe there is great value for Time Warner if it were broken into parts, ... get away from the huge cost structure and excessive layers of management at the top, both literally at the Time Warner Center, and figuratively."
Carl Icahn,I believe there are and will be major opportunities to enhance Time Warner's value in future combinations. However these transactions might not be achievable if Time Warner enters into long-term arrangements that preclude future flexibility such as an agreement regarding search functionality.
Vanilla Ice,"My prediction is that y'all gonna hate on the style we create, straight 2008."
Vanilla Ice,"I had millions of dollars, all of the material things that anybody could want, but I just couldn't find happiness. And I would have gave it all back, if I could go back in time and sign that thirty thousand dollar contract with Def Jam, just to have my credibility and to not be the butt end of a lot of jokes."
Vanilla Ice,"Honestly, a lot of people thought that I was on top of the world selling so many millions of records, and that this is the life that everybody would want, but I never got to enjoy any of my success."
Vanilla Ice,Nobody knew the direction of the album until the very end. It was really amazing because we had no idea what we were going to come up with.
Vanilla Ice,"With radio limitations as far as length of songs and content, sometimes if you are being conscious of that then that effects the outcome of a song."
Vanilla Ice,"This was totally influenced by me and the direction that I am writing about and the stuff that I am writing about. There is just no way that you can be as intense as what I have been through in my life over a drum beat machine, sample, or loop; it's just not going to happen."
Vanilla Ice,"I use the music to vent, and a lot of the stuff that I am writing about or was writing about contained a lot of anger and anxiety, stress and depression, so that's how the album came out so dark."
Vanilla Ice,It wasn't until '94 when I tried to commit suicide that I realized that it wasn't about the money.
Vanilla Ice,"I didn't end up going bankrupt... I made some great investments and I held on to my money, which also enables me to have the freedom to do what I want now. But it's not about finances. No matter what, it's about keeping it real."
Vanilla Ice,"Shows have been sold out. It's overwhelming, you know. I had no idea what to expect with this new sound and everything and just to see so many people just come out and embrace it, it's overwhelming."
Vanilla Ice,"I used the music kind of as therapy, and it's just amazing that I feel so free after doing that. I feel like I had it trapped inside of me and now I feel free. So it's been a very good therapy session for me as well."
Vanilla Ice,I just kept it real and had the freedom to do what I want. It's not designed for any age group. It's not made for radio. There are no edits. The whole album contains explicit lyrics but that's because you need it.
Harold Ickes,The trouble with Senator Long is that he is suffering from halitosis of the intellect. That's presuming Senator Long has an intellect.
Harold Ickes,"It's going to be a strong fight. It's going to be based on issues, education, health care, working families."
Harold Ickes,I am against government by crony.
Jeff Idelson,"Think about trying to find anybody who caught two home run balls in the same game, and I don't think you can find anybody, ... Put it in the context of the historic game played here, and it's really amazing. Shaun's gesture is the ultimate act of selflessness."
Jeff Idelson,"The Hall of Fame's collections are rich and diverse, given baseball's history and role in helping to shape and define American culture. Having the Jack Kerouac bobble-head in our collection is important, given he's an American icon who had a deep passion for the game, which he shared in his writing."
Jeff Idelson,"The Hall of Fame's collections are rich and diverse, given baseball's history and role in helping to shape and define American culture, ... Having the Jack Kerouac bobble-head in our collection is important, given he's an American icon who had a deep passion for the game, which he shared in his writing."
Jeff Idelson,"After seeing the results of the study, the (Hall of Fame) board felt it was important to hold an election."
Jeff Idelson,"Barry has a history of being generous to the Hall of Fame. Though he hasn't donated anything from home run No. 700, we have numerous artifacts already in Cooperstown from his career."
Jeff Idelson,We would not intentionally compromise its integrity when there are other ways to tell the history of this milestone.
Jeff Idelson,The Baseball Hall of Fame and Museum will never accept an artifact from any company whose business is promoting gambling.
Jeff Idelson,"The Baseball Hall of Fame and Museum will never accept artifacts from any company known to be involved with gambling,"
Jeff Idelson,The cardinal rule in baseball is you don't gamble. It's been posted in every clubhouse since 1927.
Jeff Idelson,The Baseball Hall of Fame and Museum will never accept artifacts from any company known to be involved with gambling.
Gwen Ifill,"Nobody does commercial TV out of the goodness of their heart. There has to be a market-driven financial incentive, an economic imperative. Katie was wildly successful for so long, she created a market incentive. It made economic sense for CBS."
Gwen Ifill,"You would like me to say that the veil will be ripped from the voters' eyes sometime between now and November, thereby restoring the proper version of Democracy to the House and Senate. I won't say that, of course. The simple reason is, I don't know."
Gwen Ifill,"When the President was asked about global warming at a public appearance yesterday, he responded by talking about America's addiction to oil. You make the connection."
Gwen Ifill,"Whatever their motivations, lawmakers on both side of the aisle have certainly discovered that immigration is one of those issues that resonate strongly with the public."
Gwen Ifill,We're not paying attention to the fact that Hillary Clinton is running in 2006. Everyone is looking to her for the future. It's the same with anybody else who's positioning themselves.
Gwen Ifill,"We will wait to see if it is a doozy before we decide how to cover it, and what it all means."
Gwen Ifill,"Tony Blair barely escaped this year, and now George W. Bush, if elections were to be held today, would be in a serious challenge as well."
Gwen Ifill,Tony Blair - good thing there are not parliamentary elections in this country.
Gwen Ifill,There seems to be more abiding interest in unearthing old memos abroad than there is here.
Gwen Ifill,"The theme with Hillary Clinton is, she wants to know where the outrage is. And we've found where the outrage is. It's in Howard Dean."
Gwen Ifill,"The President's got a lot of things working against him which aren't necessarily under his control, and I'm not sure he's familiar with that."
Gwen Ifill,"The President has launched a very agressive campaign of self-defense, with the goal of getting Americans to buy into his vision of America on the world stage."
Gwen Ifill,The common agenda both sides seem to share is: Whatever works.
Gwen Ifill,"People do still cheer for the President. And some of the military audiences are more likely to cheer than others. I have seen him speak lately in front of groups like Freedom House, where the applause was a long time coming."
Gwen Ifill,"One of the things that Africa needs, everybody seems to agree, is some measure of debt relief."
Gwen Ifill,"On immigration, there are a lot of hurdles before anything arrives at the White House."
Gwen Ifill,"Journalists are accused of being lapdogs when they don't ask the hard questions, but then accused of being rude when they do. Good thing we have tough hides."
Gwen Ifill,"It's been years, decades, since a president has lost a major trade initiative. That would be bad headlines."
Gwen Ifill,Is it unreasonable to have proof of citizenship when entering another country?
Gwen Ifill,"If you start to catalog Hillary Clinton's positions between now and 2008, we're going to have a lot of conversations because there are a lot of places for her to go."
Gwen Ifill,"If it were the Clinton people, they'd be sitting around figuring out how to pull themselves out. Instead the president is continuing to go around the country and peddling Social Security, which the needle is not moving on."
Gwen Ifill,Folks who are getting their strokes in the South are not as unhappy with Howard Dean. You don't see anybody starting any movement to get him out of office.
Gwen Ifill,"Don't count out other amazing programming like Frontline. You will still find more hours of in-depth news programming, investigative journalism and analysis on PBS than on any other outlet."
Gwen Ifill,Did I say that the President's entire job is image management? Of course not.
Gwen Ifill,Can't disagree with the need for a grasp of history.
Gwen Ifill,"A lot of Democrats are not that upset with Howard Dean. Howard Dean gets out here and he says these inflammatory things, and he doesn't apologize. He doesn't back down a little bit."
Gwen Ifill,"I'm a preacher's kid, and we were always told, Act right all the time, because someone's always watching."
Gwen Ifill,History shows that people often do cast their votes for amorphous reasons-the most powerful among them being the need for change. Just ask Bill Clinton.
Robert Iger,As millions discover the wonders of Hong Kong and China - one of the most rapidly growing travel destinations in the world - the future is indeed bright.
Robert Iger,"That's what it's about, more than anything else, more than financials, more than technology, more than growing globally,"
Robert Iger,"That's what it's about, more than anything else, more than financials, more than technology, more than growing globally."
Robert Iger,"I got a sense that it's the kind of music that transcends the generation that was initially exposed to it,"
Robert Iger,as the future as far as we are concerned.
Robert Iger,"This is a first giant step, ... It is the future, as far as we are concerned."
Robert Iger,Consumers have a lot more authority these days and they know that by using technology they can gain access to content and they want to use the power that they have... We can't stand in the way and we can't allow tradition to stand in the way of where the consumer can go or wants to go.
Robert Iger,We're delighted to be working with Apple to offer fans a new and innovative way to experience our wildly popular shows.
Robert Iger,We like the size of the company today given the environment and have no plans to split it up and make it smaller.
Robert Iger,It's in our best interest to put some of the old rules aside and create new ones and follow the consumer - what the consumer wants and where the consumer wants to go.
Robert Iger,The heart and soul of the company is creativity and innovation.
Robert Iger,There is no For Sale sign on our door.
Robert Iger,"Are there challenges? Absolutely. But in aggregate, this is a very strong and valuable company."
Robert Iger,We really believe that Walt Disney is a very able company with great depth and a great set of franchises.
Robert Iger,Sometimes I feel like I'm a contestant in a reality show that probably would be called The Apprentice Survivor Millionaire.
Robert Iger,unforeseen -- a significant downturn in the (advertising) market.
Jarome Iginla,It is frustrating because every player wants to contribute to their team's success and be a part of winning ... Hopefully I'll break out here against Edmonton.
Jarome Iginla,"We got ourselves into penalty trouble. They had five in the third period, or something like that, and two five-on-threes. You can't give any team that many chances."
Jarome Iginla,"We got ourselves in penalty trouble tonight. I think we had five penalties in the third period. In a tie game, it's hard to get offense."
Jarome Iginla,"I take pride in it and I do think about it. It's hard to put in words, but [watching black hockey players when I was growing up] made me feel it was possible. So knowing what it meant to me and thinking that maybe there are other young black kids who want to play and are in the same situation that I was and wanting to follow that dream... it's a neat feeling to think maybe [I can make a difference]."
Jarome Iginla,"We're a union of 700 players and there are going to be different opinions, ... But I personally appreciate the job Trevor, Ted and the executive committee have done. Ted is a big part of this deal. He's had a huge say in getting us back on the ice."
Jarome Iginla,"We're a union of 700 players and there are going to be different opinions. But I personally appreciate the job Trevor, Ted and the executive committee have done. Ted is a big part of this deal. He's had a huge say in getting us back on the ice."
Jarome Iginla,"Defensively, we've been doing really well, and offensively, we'd like to score more goals. I don't think that's a secret. Personally, I think the first half could have been better and I'm looking forward to the second half and contributing more on the offensive side of it."
Jarome Iginla,"That's one of the funniest things I've ever seen,"
Jarome Iginla,"I get excited about playing in Edmonton, it's such a great atmosphere, and the games are fun to play in. We know the importance of these games, and coming away with two points is big for us."
Jarome Iginla,"We want to be a hard, physical team to play against and fighting does happen in that. Our fight, whoever it is on our team, it pumps us up."
Jarome Iginla,"Obviously, we weren't happy with the way the game was going. Emotions get going when you look at the scoreboard and you're losing in the Stanley Cup Finals. And that's what happens."
Jarome Iginla,"I think the confidence is coming back, for sure."
Jarome Iginla,"He's a big part of Hockey Canada, he's probably the biggest part, and it's great that he's coming over to lead our team again."
Jarome Iginla,There are some similarities. It's just the feeling. It didn't feel great then [when Canada got off to a 1-1-1 start] and it doesn't feel great now. But the confidence is still there.
Jarome Iginla,We're around the same age. He's a good power forward. He's got good hands in front of the net. He scores his share of goals. He can get really hot too which is a good thing.
Jarome Iginla,We know we have to get better. We have the talent and the ability to get a goal. Now the main goal is to get better.
Andre Iguodala,"We made a few adjustments and guys just came in understanding where they should be. We had to turn things around and that was one of the things we had to do, turn around our defense."
Andre Iguodala,That was just an instinct play with the clock going down.
Andre Iguodala,The crowd really embraces me when I come here. It's kind of funny being on the road.
Andre Iguodala,"I think the crowd embraces me when I come here, which is kind of funny, being on the road. But I felt real comfortable coming into the game."
Andre Iguodala,"We are trying to focus on moving up and trying to focus on our ability, rather than on Chicago. We know we are better than eighth place."
Charles III,What a round of golf that is. I saw him at 8 under and thought he was playing a scramble with Ted Purdy.
Charles III,"I have thrown out everything, including the kitchen sink. It's kind of fun starting over."
Charles III,"In November, I played four times over Thanksgiving. Over Christmas, I played seven or eight more. So, first of all, I may be the reason they changed the rule that once you qualify for the tournament you can play. I may be the reason that rule gets revoked for everybody."
Charles III,"I've worked hard since I first started playing the game at age 7, and that's always been my goal to be the best player in the world."
Daisaku Ikeda,The determination to win is the better part of winning.
Daisaku Ikeda,"A person, who no matter how desperate the situation, gives others hope, is a true leader."
Daisaku Ikeda,People can only live fully by helping others to live. When you give life to friends you truly live. Cultures can only realize their further richness by honoring other traditions. And only by respecting natural life can humanity continue to exist.
Daisaku Ikeda,"You must not for one instant give up the effort to build new lives for yourselves. Creativity means to push open the heavy, groaning doorway to life. This is not an easy struggle. Indeed, it may be the most difficult task in the world, for opening"
Ivan Illich,"It takes more time and effort and delicacy to learn the silence of a people than to learn its sounds. Some people have a special gift for this. Perhaps this explains why some missionaries, notwithstanding their efforts, never come to speak properly, to communicate delicately through silences. Although they ''speak with the accent of natives'' they remain forever thousands of miles away. The learning of the grammar of silence is an art much more difficult to learn than the grammar of sounds."
Ivan Illich,Together we have come to realize that for most men the right to learn is curtailed by the obligation to attend school
Ivan Illich,Man must choose whether to be rich in things or in the freedom to use them
Ivan Illich,Effective health care depends on self-care; this fact is currently heralded as if it were a discovery . . .
Ivan Illich,"Healthy people are those who live in healthy homes on a healthy diet; in an environment equally fit for birth, growth work, healing, and dying. . . . Healthy people need no bureaucratic interference to mate, give birth, share the human condition and die."
Ivan Illich,"Healthy people are those who live in healthy homes on a healthy diet; in an environment equally fit for birth, growth work, healing, and dying... Healthy people need no bureaucratic interference to mate, give birth, share the human condition and die."
Ivan Illich,Effective health care depends on self-care; this fact is currently heralded as if it were a discovery.
Ivan Illich,Leadership does not depend on being right.
Ivan Illich,There is no greater distance than that between a man in prayer and God.
Ivan Illich,We must rediscover the distinction between hope and expectation.
Ivan Illich,"School divides life into two segments, which are increasingly of comparable length. As much as anything else, schooling implies custodial care for persons who are declared undesirable elsewhere by the simple fact that a school has been built to serve them."
Ivan Illich,"The compulsion to do good is an innate American trait. Only North Americans seem to believe that they always should, may, and actually can choose somebody with whom to share their blessings. Ultimately this attitude leads to bombing people into the acceptance of gifts."
Ivan Illich,The public school has become the established church of secular society.
Ivan Illich,"Modern medicine is a negation of health. It isn't organized to serve human health, but only itself, as an institution. It makes more people sick than it heals."
Iman Iman,"He doesn't cook or shop or do anything. Not because he's a rock star, but because I wouldn't trust him. He can't even boil water."
Iman Iman,"I have not been in these tents or seen a fashion show live since 1989, when I stopped modeling, ... The only person who can get me back here is Naomi and definitely for Fashion for Relief."
Iman Iman,"[It's a book that highlights] our natural, God-given features, ... I don't like making Asian eyes look bigger, or making black noses look smaller."
Jeff Immelt,"Reinsurance is an industry that has had a difficult time over the past few years, and we're disappointed in our results, ... We are committed to running ERC effectively for our investors. This includes profitability and exploring strategic options."
Jeff Immelt,"GE is about performance with integrity,"
Jeff Immelt,"GE has a rich heritage of providing customers with  essential, inventive home products,"
Jeff Immelt,"We see continued strong growth in Asia and developing markets, mid single-digit growth in the Americas, and slow growth in Europe."
Jeff Immelt,"We really don't see a double dip, just slow economic growth,"
Jeff Immelt,"We also remain confident that we will achieve 10 to 15 percent earnings per share growth in 2005,"
Jeff Immelt,"We are well positioned for a strong finish to the year and solid double-digit growth into 2006,"
Jeff Immelt,"GE's end markets continue to show solid growth, and our businesses are performing very well,"
Jeff Immelt,"It's really the broadest growth we've seen since the first quarter of 2000,"
Jeff Immelt,"We are on track for double-digit growth in earnings and cash flow in 2005 and beyond,"
Jeff Immelt,"[One of the optimists is eco-designer Bill McDonough , whom we bumped into in Beijing, at the Fortune Global Forum this May. As chair of the China-U.S. Center for Sustainable Development, he believes China will be forced to become a leading incubator of environmental innovation simply because the in-country collision between people's needs and the ability of natural systems to support them is already so acute. As he notes,] The Chinese have to build new housing for 400 million people in 12 years. ... While Europe has been a driver for innovation in cleaner technologies, China promises to be its market."
Jeff Immelt,"Despite a volatile environment, our fundamentals remain very strong, as we achieved double-digit earnings growth across all six of our businesses."
Jeff Immelt,"We think we'll have solid execution in a slow growth environment in the fourth quarter,"
Jeff Immelt,"Looking into 2006, the current economic environment remains positive and is in line with our expectations."
Jeff Immelt,"Despite a volatile environment, our fundamentals remain very strong,"
Jeff Immelt,"The economy is much tougher than anyone planned, but the fundamentals of GE are in great shape,"
Jeff Immelt,We're really not counting on any huge moves with the portfolio. I think we like the company the way it looks today.
Jeff Immelt,The purpose of this generation of GE leaders is to make the company as good externally and commercially as it has always been operationally and financially.
Jeff Immelt,"(Friday's) increases, in both our dividend and our share repurchase program, signal our confidence in our ability to extend this track record of returning value to shareowners,"
Jeffrey Immelt,"Investors are smart, and over the long haul, performance is what drives anybody's stock price, GE's included, and so I truly believe that."
Jeffrey Immelt,"Any time we invested in the people in India, we made a tremendous amount of money."
Jeffrey Immelt,"It starts with performance and integrity. We've been in most of our businesses for over 100 years and we have a very experienced leadership team, ... We've got the world's best audit staff. We've got a culture of integrity, and that's what investors have to respect."
Jeffrey Immelt,"I hate where the stock price is,"
Jeffrey Immelt,"This will create a clearer line of sight on how our financial services businesses operate and enhance growth, ... Our external reporting will mirror this organizational structure, providing greater clarity for investors."
Jeffrey Immelt,"At the forefront of GE's 2006 strategic plan is the goal to further promote growth, employment, transfer of knowledge and technology across the Middle East. Building on the successes of 2005 in the region, we will explore development opportunities in these key areas."
Jeffrey Immelt,"We remain prepared to deliver double-digit earnings growth in 2001, but most importantly we're excited about how well GE is positioned for the future,"
Jeffrey Immelt,"My father worked for GE for 40 years,"
Jeffrey Immelt,"We will meet our commitments in 2001 in the face of a recession, the tragic events of 9/11 and many other disruptions in the economy. What's more, we only see double-digit growth on the horizon for 2002 and beyond."
Jeffrey Immelt,"I look at what [NBC entertainment chief] Kevin Reilly and Jeff Zucker have, ... We have the best pipeline of shows we've probably had in the last four or five years. I am excited by what's out there. I can already see the turn happening in the prime-time schedule. I really like the team."
Jeffrey Immelt,"even if the economy does not recover, and to grow more if a recovery does take place. Our best days are ahead."
Jeffrey Immelt,"I think there's a sense of arrogance and entitlement here, a complacency in the United States."
Robert Indiana,Some people like to paint trees. I like to paint love. I find it more meaningful than painting trees.
Robert Indiana,"I never had the exposure to techniques and so forth that children have today with art workshops, but I always had crayons and pencils and still have work going right back to when I was five or six years old."
Robert Indiana,"I've always been fascinated by numbers. Before I was seventeen years old, I had lived in twenty-one different houses. In my mind, each of those houses had a number."
Robert Indiana,I was the least Pop of all the Pop artists.
Robert Indiana,"I think of my peace paintings as one long poem, with each painting being a single stanza."
Robert Indiana,"I realize that protest paintings are not exactly in vogue, but I've done many."
Martin Indyk,"to take steps to curb the incitement, curb the violence."
Martin Indyk,"It will take time and hard work. A lot more will be done behind the scenes than will be noticeable publicly, at least at first."
Martin Indyk,"There is a lot of blame to go around. But on the American side, the conceptual failure that contributed to disaster was the president's belief that democracy and elections solve everything."
Martin Indyk,"We will not seek to delay unnecessarily the transition to a permanent lifting of sanctions, ... We would like to see Libya genuinely comply and return to full participation in the family of nations. But the requirements set by the Security Council must first be addressed."
Dean Inge,"When our first parents were driven out of Paradise, Adam is believed to have remarked to Eve: My dear, we live in an age of transition."
Dean Inge,Literature flourishes best when it is half trade and half an art.
Dean Inge,"Let us remember, when we are inclined to be disheartened, that the private soldier is a poor judge of the fortunes of a great battle."
Dean Inge,The soul is dyed with the color of its leisure thoughts.
Dean Inge,The proper time to influence the character of a child is about a hundred years before he is born.
Dean Inge,"Man, as we know him, is a poor creature; he is halfway between an ape and a god and he is travelling in the right direction."
Dean Inge,"The object of studying philosophy is to know one's own mind, not other people's."
Dean Inge,Don't get up from the feast of life without paying for your share of it.
Dean Inge,"In praising science, it does not follow that we must adopt the very poor philosophies which scientific men have constructed. In philosophy they have much more to learn than to teach."
Dean Inge,"It takes in reality only one to make a quarrel. It is useless for the sheep to pass resolutions in favor of vegetarianism, while the wolf remains of a different opinion."
Dean Inge,"A man may build himself a throne of bayonets, but he cannot sit on it."
Dean Inge,"If the universe is running down like a clock, the clock must have been wound up at a date which we could name if we knew it. The world, if it is to have an end in time, must have had a beginning in time."
Dean Inge,A good government remains the greatest of human blessings and no nation has ever enjoyed it.
Dean Inge,"Faith is an act of rational choice, which determines us to act as if certain things were true, and in the confident expectation that they will prove to be true."
Dean Inge,"Faith always contains an element of risk, of venture; and we are impelled to make the venture by the affinity and attraction which we feel in ourselves."
Dean Inge,"All faith consists essentially in the recognition of a world of spiritual values behind, yet not apart from, the world of natural phenomena."
Dean Inge,We tolerate shapes in human beings that would horrify us if we saw them in a horse.
Dean Inge,"Bereavement is the sharpest challenge to our trust in God; if faith can overcome this, there is no mountain which it cannot remove."
Dean Inge,Gambling is a disease of barbarians superficially civilized.
Dean Inge,What is originality? Undetected plagiarism.
Dean Inge,To marry is to get a binocular view of life.
Dean Inge,"Democracy is only an experiment in government, and it has the obvious disadvantage of merely counting votes instead of weighing them."
Dean Inge,"It was said that Mr. Gladstone could persuade most people of most things, and himself of anything."
Dean Inge,"Bereavement is the deepest initiation into the mysteries of human life, an initiation more searching and profound than even happy love."
Dean Inge,"A cat can be trusted to purr when she is pleased, which is more than can be said for human beings."
Dean Inge,Let none of us delude himself by supposing that honesty is always the best policy. It is not.
Dean Inge,"Action is the normal completion of the act of will which begins as prayer. That action is not always external, but it is always some kind of effective energy."
Dean Inge,There are no rewards or punishments -- only consequences.
Dean Inge,"The effect of boredom on a large scale in history is underestimated. It is a main cause of revolutions, and would soon bring to an end all the static Utopias and the farmyard civilization of the Fabians."
Dean Inge,"Faith is an act of self-consecration, in which the will, the intellect, and the affections all have their place."
Dean Inge,"God does not always punish a nation by sending it adversity. More often He gives the oppressors their hearts' desire, and sends leanness withal into their soul."
Dean Inge,The wisdom of the wise is an uncommon degree of common sense.
Robert Ingersoll,"It cannot be too often repeated, that truth scorns the assistance of miracle"
Robert Ingersoll,"Science built the Academy, superstition the inquisition"
Robert Ingersoll,A good deed is the best prayer
Robert Ingersoll,There will never be a generation of great men until there has been a generation of free women
